Row,Policy ID,Issue,Severity,Value,Proposed fix
16,BTD-2024-00007,Duplicate Policy ID,High,BTD-2024-00007,De-duplicate; keep the row whose GWP reconciles to Premium/FX
29,BTD-2024-00041,Duplicate Policy ID,High,BTD-2024-00041,De-duplicate; keep the row whose GWP reconciles to Premium/FX
31,BTD-2025-00685,Duplicate Policy ID,High,BTD-2025-00685,De-duplicate; keep the row whose GWP reconciles to Premium/FX
113,BTD-2025-00400,Duplicate Policy ID,High,BTD-2025-00400,De-duplicate; keep the row whose GWP reconciles to Premium/FX
130,BTD-2025-00443,Duplicate Policy ID,High,BTD-2025-00443,De-duplicate; keep the row whose GWP reconciles to Premium/FX
223,BTD-2025-00685,Duplicate Policy ID,High,BTD-2025-00685,De-duplicate; keep the row whose GWP reconciles to Premium/FX
272,BTD-2025-00443,Duplicate Policy ID,High,BTD-2025-00443,De-duplicate; keep the row whose GWP reconciles to Premium/FX
447,BTD-2026-00951,Duplicate Policy ID,High,BTD-2026-00951,De-duplicate; keep the row whose GWP reconciles to Premium/FX
486,BTD-2026-00834,Duplicate Policy ID,High,BTD-2026-00834,De-duplicate; keep the row whose GWP reconciles to Premium/FX
619,BTD-2024-00102,Duplicate Policy ID,High,BTD-2024-00102,De-duplicate; keep the row whose GWP reconciles to Premium/FX
620,BTD-2025-00400,Duplicate Policy ID,High,BTD-2025-00400,De-duplicate; keep the row whose GWP reconciles to Premium/FX
622,BTD-2024-00041,Duplicate Policy ID,High,BTD-2024-00041,De-duplicate; keep the row whose GWP reconciles to Premium/FX
700,BTD-2026-00834,Duplicate Policy ID,High,BTD-2026-00834,De-duplicate; keep the row whose GWP reconciles to Premium/FX
734,BTD-2024-00102,Duplicate Policy ID,High,BTD-2024-00102,De-duplicate; keep the row whose GWP reconciles to Premium/FX
745,BTD-2025-00454,Duplicate Policy ID,High,BTD-2025-00454,De-duplicate; keep the row whose GWP reconciles to Premium/FX
882,BTD-2024-00007,Duplicate Policy ID,High,BTD-2024-00007,De-duplicate; keep the row whose GWP reconciles to Premium/FX
888,BTD-2025-00454,Duplicate Policy ID,High,BTD-2025-00454,De-duplicate; keep the row whose GWP reconciles to Premium/FX
896,BTD-2026-00951,Duplicate Policy ID,High,BTD-2026-00951,De-duplicate; keep the row whose GWP reconciles to Premium/FX
94,BTD-2026-00743,Expiry on or before inception,High,2025-09-06,Manual review; likely year typo in expiry
433,BTD-2025-00537,Expiry on or before inception,High,2025-05-07,Manual review; likely year typo in expiry
900,BTD-2026-00786,Expiry on or before inception,High,2025-10-18,Manual review; likely year typo in expiry
16,BTD-2024-00007,GWP != Premium / FX rate,High,28602.56,Recalculate GWP = Premium / FX; recompute Revenue
29,BTD-2024-00041,GWP != Premium / FX rate,High,22233.33,Recalculate GWP = Premium / FX; recompute Revenue
130,BTD-2025-00443,GWP != Premium / FX rate,High,10281.2,Recalculate GWP = Premium / FX; recompute Revenue
10,BTD-2025-00364,GWP stored as text (thousands separator),High,"56,880.00","Strip commas, store as number"
145,BTD-2025-00399,GWP stored as text (thousands separator),High,"17,010.00","Strip commas, store as number"
235,BTD-2026-00724,GWP stored as text (thousands separator),High,"15,149.61","Strip commas, store as number"
330,BTD-2025-00415,GWP stored as text (thousands separator),High,"22,448.82","Strip commas, store as number"
344,BTD-2025-00579,GWP stored as text (thousands separator),High,"21,299.21","Strip commas, store as number"
445,BTD-2026-00907,GWP stored as text (thousands separator),High,"26,790.00","Strip commas, store as number"
457,BTD-2024-00165,GWP stored as text (thousands separator),High,"12,180.00","Strip commas, store as number"
603,BTD-2024-00130,GWP stored as text (thousands separator),High,"19,220.47","Strip commas, store as number"
606,BTD-2026-00913,GWP stored as text (thousands separator),High,"17,174.42","Strip commas, store as number"
693,BTD-2025-00413,GWP stored as text (thousands separator),High,"46,780.00","Strip commas, store as number"
767,BTD-2025-00608,GWP stored as text (thousands separator),High,"38,692.91","Strip commas, store as number"
785,BTD-2024-00256,GWP stored as text (thousands separator),High,"14,685.04","Strip commas, store as number"
859,BTD-2025-00632,GWP stored as text (thousands separator),High,"21,372.09","Strip commas, store as number"
916,BTD-2024-00143,GWP stored as text (thousands separator),High,"9,905.98","Strip commas, store as number"
8,BTD-2025-00512,Inception date in DD/MM/YYYY text format,High,23/06/2025,"Parse as UK day-first, store as ISO date"
24,BTD-2024-00295,Inception date in DD/MM/YYYY text format,High,20/11/2024,"Parse as UK day-first, store as ISO date"
97,BTD-2026-00854,Inception date in DD/MM/YYYY text format,High,19/04/2026,"Parse as UK day-first, store as ISO date"
115,BTD-2026-00904,Inception date in DD/MM/YYYY text format,High,25/05/2026,"Parse as UK day-first, store as ISO date"
163,BTD-2026-00816,Inception date in DD/MM/YYYY text format,High,01/02/2026,"Parse as UK day-first, store as ISO date"
204,BTD-2025-00475,Inception date in DD/MM/YYYY text format,High,18/04/2025,"Parse as UK day-first, store as ISO date"
206,BTD-2025-00416,Inception date in DD/MM/YYYY text format,High,24/02/2025,"Parse as UK day-first, store as ISO date"
209,BTD-2024-00035,Inception date in DD/MM/YYYY text format,High,01/01/2024,"Parse as UK day-first, store as ISO date"
270,BTD-2024-00277,Inception date in DD/MM/YYYY text format,High,01/10/2024,"Parse as UK day-first, store as ISO date"
299,BTD-2025-00427,Inception date in DD/MM/YYYY text format,High,01/03/2025,"Parse as UK day-first, store as ISO date"
301,BTD-2025-00403,Inception date in DD/MM/YYYY text format,High,17/02/2025,"Parse as UK day-first, store as ISO date"
333,BTD-2024-00286,Inception date in DD/MM/YYYY text format,High,14/10/2024,"Parse as UK day-first, store as ISO date"
355,BTD-2026-00746,Inception date in DD/MM/YYYY text format,High,01/01/2026,"Parse as UK day-first, store as ISO date"
362,BTD-2024-00149,Inception date in DD/MM/YYYY text format,High,23/05/2024,"Parse as UK day-first, store as ISO date"
375,BTD-2025-00514,Inception date in DD/MM/YYYY text format,High,01/06/2025,"Parse as UK day-first, store as ISO date"
405,BTD-2024-00002,Inception date in DD/MM/YYYY text format,High,25/01/2024,"Parse as UK day-first, store as ISO date"
471,BTD-2025-00401,Inception date in DD/MM/YYYY text format,High,15/02/2025,"Parse as UK day-first, store as ISO date"
475,BTD-2026-00882,Inception date in DD/MM/YYYY text format,High,01/04/2026,"Parse as UK day-first, store as ISO date"
499,BTD-2024-00201,Inception date in DD/MM/YYYY text format,High,22/07/2024,"Parse as UK day-first, store as ISO date"
521,BTD-2026-00720,Inception date in DD/MM/YYYY text format,High,01/01/2026,"Parse as UK day-first, store as ISO date"
525,BTD-2024-00312,Inception date in DD/MM/YYYY text format,High,01/12/2024,"Parse as UK day-first, store as ISO date"
527,BTD-2024-00094,Inception date in DD/MM/YYYY text format,High,17/03/2024,"Parse as UK day-first, store as ISO date"
563,BTD-2026-00886,Inception date in DD/MM/YYYY text format,High,18/04/2026,"Parse as UK day-first, store as ISO date"
573,BTD-2025-00375,Inception date in DD/MM/YYYY text format,High,08/01/2025,"Parse as UK day-first, store as ISO date"
585,BTD-2024-00047,Inception date in DD/MM/YYYY text format,High,19/01/2024,"Parse as UK day-first, store as ISO date"
601,BTD-2026-00823,Inception date in DD/MM/YYYY text format,High,18/03/2026,"Parse as UK day-first, store as ISO date"
605,BTD-2024-00119,Inception date in DD/MM/YYYY text format,High,23/04/2024,"Parse as UK day-first, store as ISO date"
624,BTD-2024-00294,Inception date in DD/MM/YYYY text format,High,17/11/2024,"Parse as UK day-first, store as ISO date"
666,BTD-2024-00270,Inception date in DD/MM/YYYY text format,High,06/10/2024,"Parse as UK day-first, store as ISO date"
718,BTD-2024-00026,Inception date in DD/MM/YYYY text format,High,01/01/2024,"Parse as UK day-first, store as ISO date"
730,BTD-2024-00212,Inception date in DD/MM/YYYY text format,High,20/07/2024,"Parse as UK day-first, store as ISO date"
743,BTD-2025-00431,Inception date in DD/MM/YYYY text format,High,13/03/2025,"Parse as UK day-first, store as ISO date"
765,BTD-2026-00925,Inception date in DD/MM/YYYY text format,High,16/06/2026,"Parse as UK day-first, store as ISO date"
793,BTD-2024-00230,Inception date in DD/MM/YYYY text format,High,21/08/2024,"Parse as UK day-first, store as ISO date"
